place-IV,lng-IV,lat-IV,lng-OSM,lat-OSM,uuid,uri,place,county,"distance (km)","longitude negated"
Brushford,-4,50.93,-3.8820759,50.8536696,IV1680-059-30,http://www.openstreetmap.org/node/1984667558,Brushford,Devon,3.83,,100
BRUTON,-2.48,51.16,-2.453328,51.1121638,IV1680-059-32,http://www.openstreetmap.org/node/66647250,Bruton,Somerset,0.38,,100
Brydell,-4.56,52.13,-4.6616027,52.0464034,IV1680-059-35,http://www.openstreetmap.org/node/29271133,Bridell,Pembrokeshire,5.52,,85.71
Brynhenllan,-4.76,52.13,-4.9020427,52.018252,IV1680-059-39,http://www.openstreetmap.org/node/114566250,Brynhenllan,Pembrokeshire,3.47,,100
Bryning,-2.7,53.85,-2.9135446,53.7619237,IV1680-059-41,http://www.openstreetmap.org/node/29408151,Bryning,Lancashire,2.71,,100
Brynton,-2.2,52.76,-2.2855329,52.720639,IV1680-059-43,http://www.openstreetmap.org/node/345757683,Brineton,Staffordshire,2.42,,80
Bubnall,-1.45,53.31,-1.625923,53.2474996,IV1680-059-44,http://www.openstreetmap.org/node/251982717,Bubnell,Derbyshire,0.31,,85.71
Bubwith,-0.65,53.88,-0.917127,53.8184436,IV1680-059-46,http://www.openstreetmap.org/node/67648781,Bubwith,"Yorkshire East Riding",1.93,,100
Buck-a-bank,-2.5,54.95,-2.9780242,54.8324726,IV1680-059-47,http://www.openstreetmap.org/node/29281221,Buckabank,Cumberland,2.74,,90
Buckdon,-1.8,54.21,-2.0902259,54.1900062,IV1680-059-50,http://www.openstreetmap.org/node/26454357,Buckden,"Yorkshire West Riding",4,,85.71
Buckerell,-3.38,50.83,-3.246218,50.7971727,IV1680-059-58,http://www.openstreetmap.org/node/117597724,Buckerell,Devon,2.08,,100
Buckfast-Leigh,-3.91,50.56,-3.7779904,50.4815994,IV1680-059-60,http://www.openstreetmap.org/node/28375331,Buckfastleigh,Devon,6.37,,96.3
BUCKINGHAM,-0.93,52.01,-0.9786725,51.9983175,IV1680-060-07,http://www.openstreetmap.org/node/12860528,Buckingham,Buckinghamshire,1.12,,100
Buckland,-1.4,51.7,-1.5179022,51.6941925,IV1680-060-10,http://www.openstreetmap.org/node/2129681647,"Buckland Marsh",Berkshire,0.64,,72.73
Buckland,-0.66,51.81,-0.7136715,51.8027259,IV1680-060-12,http://www.openstreetmap.org/node/259199347,Buckland,Buckinghamshire,1.28,,100
Buckland,0.03,52,-0.0268774,51.9846572,IV1680-060-16,http://www.openstreetmap.org/node/29359128,Buckland,Hertfordshire,1.04,,100
Buckland,-0.2,51.26,-0.2525821,51.2436624,IV1680-060-24,http://www.openstreetmap.org/node/2276485443,Buckland,Surrey,0.69,,100
Bucklebury,-1.1,51.48,-1.2065998,51.4341916,IV1680-060-39,http://www.openstreetmap.org/node/340378384,Bucklebury,Berkshire,2.09,,100
Bucklesham,1.36,52.13,1.2691699,52.0296821,IV1680-060-41,http://www.openstreetmap.org/node/288283750,Bucklesham,Suffolk,2.32,,100
Buckley,-2.63,53.16,-2.7006679,53.0860367,IV1680-060-42,http://www.openstreetmap.org/node/692350,Bulkeley,Cheshire,1.81,,80
Buckminster,-0.6,52.83,-0.6963714,52.7968484,IV1680-060-46,http://www.openstreetmap.org/node/31822054,Buckminster,Leicestershire,3.12,,100
Bucknall,-0.13,53.25,-0.2477085,53.2043098,IV1680-060-48,http://www.openstreetmap.org/node/243463253,Bucknall,Lincolnshire,0.68,,100
Bucknell,-1.13,51.95,-1.1873725,51.9259934,IV1680-060-50,http://www.openstreetmap.org/node/26314988,Bucknell,Oxfordshire,1.75,,100
Bucknell,-2.95,52.38,-2.9512644,52.3606416,IV1680-060-51,http://www.openstreetmap.org/node/1782499724,Bucknell,Shropshire,2.31,,100
Bucknell,-2,53.08,-2.1456725,53.0282836,IV1680-060-53,http://www.openstreetmap.org/node/622364879,Bucknall,Staffordshire,4.44,,87.5
Buckton,-2.88,52.36,-2.9061427,52.3552904,IV1680-060-59,http://www.openstreetmap.org/node/54006986,Buckton,Herefordshire,1.48,,100
Buckton,0.03,54.18,-0.1885615,54.1366385,IV1680-061-02,http://www.openstreetmap.org/node/55559565,Buckton,"Yorkshire East Riding",3.94,,100
Buckworth,-0.28,52.38,-0.3108027,52.3786718,IV1680-061-06,http://www.openstreetmap.org/node/1127020030,Buckworth,Huntingdonshire,1.44,,100
Budbrook,-1.46,52.36,-1.6228108,52.2875386,IV1680-061-07,http://www.openstreetmap.org/node/2677637208,Budbrooke,Warwickshire,1.26,,94.12
Budby,-0.91,53.26,-1.0766597,53.2258133,IV1680-061-08,http://www.openstreetmap.org/node/1131222553,Budby,Nottinghamshire,0.38,,100
Buerley,-1.5,54.13,-1.761184,54.0798611,IV1680-061-20,http://www.openstreetmap.org/node/4537377735,Bewerley,"Yorkshire West Riding",2.8,,80
Buerley,-1.76,53.8,-1.9607444,53.7301628,IV1680-061-21,http://www.openstreetmap.org/node/700345402,Brearley,"Yorkshire West Riding",4.02,,80
Buerton,-2.43,53.03,-2.4707627,52.9879075,IV1680-061-22,http://www.openstreetmap.org/node/292384167,Buerton,Cheshire,4.29,,100
Bugbrook,-0.95,52.26,-1.0079535,52.2095263,IV1680-061-23,http://www.openstreetmap.org/node/29158893,Bugbrooke,Northamptonshire,2.29,,94.12
Bugden,-0.25,52.3,-0.2513765,52.2949897,IV1680-061-24,http://www.openstreetmap.org/node/29677585,Buckden,Huntingdonshire,1.13,,76.92
Bugley,-2.28,51.1,-2.3078253,51.020943,IV1680-061-27,http://www.openstreetmap.org/node/1142672220,Bugley,Dorset,5,,100
Bugthorp,-0.58,54.08,-0.8222132,54.0122865,IV1680-061-29,http://www.openstreetmap.org/node/165194039,Bugthorpe,"Yorkshire East Riding",4.48,,94.12
Bulbridg,-1.83,51.13,-1.8775667,51.0733049,IV1680-061-32,http://www.openstreetmap.org/node/1130168568,Bulbridge,Wiltshire,1.53,,94.12
Bulby,-0.31,52.86,-0.4408705,52.8226726,IV1680-061-33,http://www.openstreetmap.org/node/82536393,Bulby,Lincolnshire,0.64,,100
Bulford,-1.71,51.23,-1.7580703,51.1907729,IV1680-061-37,http://www.openstreetmap.org/node/433479298,Bulford,Wiltshire,0.85,,100
Bulkington,-1.33,52.58,-1.4231339,52.4757914,IV1680-061-40,http://www.openstreetmap.org/node/27438570,Bulkington,Warwickshire,1.37,,100
Bulkworthy,-4.36,51.01,-4.2841941,50.9041293,IV1680-061-41,http://www.openstreetmap.org/node/1600310315,Bulkworthy,Devon,2.64,,100
Bullington,-0.78,52.16,-0.8193938,52.0981068,IV1680-061-45,http://www.openstreetmap.org/node/1241175474,"Bullington End",Buckinghamshire,4.17,,83.33
Bullington,-0.23,53.31,-0.3603398,53.2869449,IV1680-061-47,http://www.openstreetmap.org/node/243406330,Bullington,Lincolnshire,0.56,,100
Bullington,-1.28,51.21,-1.3528005,51.169748,IV1680-061-48,http://www.openstreetmap.org/node/1272258379,Bullington,Hampshire,1.68,,100
Bully,-2.25,51.86,-2.3456994,51.8749048,IV1680-061-49,http://www.openstreetmap.org/node/550872591,Bulley,Gloucestershire,4.52,,90.91
Bulmer,0.63,52.08,0.6836784,52.0282156,IV1680-061-50,http://www.openstreetmap.org/node/307483626,Bulmer,Essex,0.92,,100
Bulmer,-0.71,54.16,-0.9328258,54.0999786,IV1680-061-51,http://www.openstreetmap.org/node/245491581,Bulmer,"Yorkshire North Riding",2.91,,100
Bulpham,0.38,51.58,0.3601889,51.5476946,IV1680-061-52,http://www.openstreetmap.org/node/29174780,Bulphan,Essex,2.12,,85.71
Bulston,-4.78,51.9,-4.9197721,51.7107439,IV1680-061-53,http://www.openstreetmap.org/node/27347306,Burton,Pembrokeshire,6.45,,76.92
Bulwel,-1.05,53.05,-1.1978283,53.0013097,IV1680-061-55,http://www.openstreetmap.org/node/351900219,Bulwell,Nottinghamshire,2.05,,92.31
Bulwick,-0.5,52.55,-0.5802007,52.5375251,IV1680-061-56,http://www.openstreetmap.org/node/2925174774,Bulwick,Northamptonshire,0.53,,100
Bunbury,-2.58,53.2,-2.6517955,53.1156292,IV1680-061-60,http://www.openstreetmap.org/node/4052889077,Bunbury,Cheshire,0.68,,100
BUNGAY,1.45,52.6,1.4373413,52.4562248,IV1680-062-02,http://www.openstreetmap.org/node/29836979,Bungay,Suffolk,0.96,,100
Bunny,-1,52.93,-1.1353704,52.8606394,IV1680-062-03,http://www.openstreetmap.org/node/27269478,Bunny,Nottinghamshire,0.58,,100
BUNTINGFORD,0,51.95,-0.0172746,51.94672,IV1680-062-06,http://www.openstreetmap.org/node/25965418,Buntingford,Hertfordshire,0.81,,100
Bunwel,1.16,52.6,1.1299637,52.4924406,IV1680-062-07,http://www.openstreetmap.org/node/380403227,Bunwell,Norfolk,1.75,,92.31
Bupton,-1.9,51.51,-1.9114403,51.5007454,IV1680-062-10,http://www.openstreetmap.org/node/253860050,Bushton,Wiltshire,3.05,,76.92
Burbach,-1.23,52.63,-1.3600243,52.5294375,IV1680-062-11,http://www.openstreetmap.org/node/246541833,Burbage,Leicestershire,4.59,,71.43
Burbrook,0.45,52.1,0.4885549,52.0407493,IV1680-062-15,http://www.openstreetmap.org/node/321473869,Birdbrook,Essex,1.86,,82.35
Burchills,-1.95,52.63,-1.9926018,52.5897338,IV1680-062-20,http://www.openstreetmap.org/node/7606802300,Birchills,Staffordshire,3.18,,88.89
Burcot,-2.7,51.21,-2.6800814,51.2046878,IV1680-062-28,http://www.openstreetmap.org/node/312407344,Burcott,Somerset,5.9,,92.31
Burdforth,-1,54.2,-1.2566055,54.1772518,IV1680-062-29,http://www.openstreetmap.org/node/5359784838,Birdforth,"Yorkshire North Riding",1.32,,88.89
Burdingbury,-1.25,52.4,-1.3694703,52.3113557,IV1680-062-31,http://www.openstreetmap.org/node/279537781,Birdingbury,Warwickshire,2.79,,90.91
BURFORD,-1.58,51.8,-1.6358183,51.8081927,IV1680-062-48,http://www.openstreetmap.org/node/14336562,Burford,Oxfordshire,0.54,,100
Burford,-2.56,52.35,-2.5990158,52.3155171,IV1680-062-49,http://www.openstreetmap.org/node/96043097,Burford,Shropshire,1.21,,100
Burgate,-1.78,50.95,-1.7876423,50.9444579,IV1680-062-52,http://www.openstreetmap.org/node/1965799173,Burgate,Hampshire,2.7,,100
Burgh,1.26,52.23,1.2584744,52.1166641,IV1680-062-60,http://www.openstreetmap.org/node/288278576,Burgh,Suffolk,1.92,,100
Burgh-clere,-1.31,51.4,-1.328345,51.318354,IV1680-063-06,http://www.openstreetmap.org/node/501611302,"Old Burghclere",Hampshire,0.64,,80
Burghill,-2.75,52.11,-2.7643597,52.0960708,IV1680-063-07,http://www.openstreetmap.org/node/354896610,Burghill,Herefordshire,1.21,,100
Buringham,-0.53,53.63,-0.7381881,53.5741816,IV1680-063-19,http://www.openstreetmap.org/node/243382922,Burringham,Lincolnshire,0.78,,94.74
Burlescomb,-3.4,50.98,-3.3215642,50.9447977,IV1680-063-27,http://www.openstreetmap.org/node/257391807,Burlescombe,Devon,1.06,,95.24
Burley,-1.26,53.85,-1.5839203,53.8108314,IV1680-063-32,http://www.openstreetmap.org/node/42394525,Burley,"Yorkshire West Riding",3.24,,100
Burmarsh,0.95,51.01,0.9961973,51.048765,IV1680-063-39,http://www.openstreetmap.org/node/29164915,Burmarsh,Kent,1.39,,100
Burmington,-1.48,52.06,-1.615362,52.039303,IV1680-063-40,http://www.openstreetmap.org/node/1611098449,Burmington,Warwickshire,1.06,,100
Burnage,-2.08,53.5,-2.2059549,53.4356052,IV1680-063-41,http://www.openstreetmap.org/node/298840723,Burnage,Lancashire,3.61,,100
Burnaston,-1.5,52.96,-1.5722043,52.8881893,IV1680-063-42,http://www.openstreetmap.org/node/539246749,Burnaston,Derbyshire,2.72,,100
Burnby,-0.5,53.98,-0.7280806,53.9069136,IV1680-063-43,http://www.openstreetmap.org/node/64679397,Burnby,"Yorkshire East Riding",3.31,,100
Burningham,0.96,52.95,1.0273604,52.8668483,IV1680-064-12,http://www.openstreetmap.org/node/1900394963,Briningham,Norfolk,1.33,,90
Burniston,-1.23,54.3,-1.528211,54.2608859,IV1680-064-13,http://www.openstreetmap.org/node/29541820,Burneston,"Yorkshire North Riding",0.08,,88.89
Burniston,-0.2,54.38,-0.4446088,54.3248311,IV1680-064-14,http://www.openstreetmap.org/node/92968774,Burniston,"Yorkshire North Riding",2.75,,100
BURNLEY,-2.01,53.85,-2.2359655,53.7825432,IV1680-064-15,http://www.openstreetmap.org/node/1798511177,"Burnley Wood",Lancashire,3.13,,73.68
Burnsall,-1.66,54.11,-1.9516532,54.0472038,IV1680-064-17,http://www.openstreetmap.org/node/26454442,Burnsall,"Yorkshire West Riding",0.36,,100
BURNTWOOD,0.31,51.65,0.3018662,51.6201654,IV1680-064-18,http://www.openstreetmap.org/node/1604718476,Brentwood,Essex,1.6,,88.89
Burpham,-0.5,50.93,-0.5226417,50.8703012,IV1680-064-20,http://www.openstreetmap.org/node/29542894,Burpham,Sussex,2.98,,100
Burraston,-2.48,52.4,-2.5675413,52.327078,IV1680-064-25,http://www.openstreetmap.org/node/96044096,Boraston,Shropshire,3.98,,82.35
Burrel,-1.36,54.31,-1.6333717,54.2802754,IV1680-064-26,http://www.openstreetmap.org/node/1513361183,Burrill,"Yorkshire North Riding",2.11,,76.92
Burrels,-2.1,54.68,-2.4957214,54.5588504,IV1680-064-28,http://www.openstreetmap.org/node/3502682265,Burrells,Westmorland,4.47,,93.33
Burrington,-2.81,52.36,-2.8187977,52.3443063,IV1680-064-31,http://www.openstreetmap.org/node/2575901516,Burrington,Herefordshire,1.82,,100
Burroby,-1.03,54.33,-1.3438938,54.2975299,IV1680-064-32,http://www.openstreetmap.org/node/342033275,Borrowby,"Yorkshire North Riding",2.98,,80
Burrow,-2.88,51,-2.8376929,50.9758517,IV1680-064-40,http://www.openstreetmap.org/node/576105245,Burrow,Somerset,3.72,,100
Burscough,-2.65,53.68,-2.8500883,53.5933829,IV1680-064-48,http://www.openstreetmap.org/node/29974762,Burscough,Lancashire,2.43,,100
Burslem,-2.06,53.1,-2.1928235,53.0446287,IV1680-064-50,http://www.openstreetmap.org/node/29813790,Burslem,Staffordshire,0.31,,100
Burstall,-0.96,52.73,-1.1203658,52.6769813,IV1680-064-52,http://www.openstreetmap.org/node/6171011169,Birstall,Leicestershire,1.21,,87.5
Burstall,1.06,52.16,1.0575609,52.0605366,IV1680-064-53,http://www.openstreetmap.org/node/288527809,Burstall,Suffolk,2.05,,100
Burstall,-1.41,53.8,-1.6602524,53.7319746,IV1680-064-55,http://www.openstreetmap.org/node/29814356,Birstall,"Yorkshire West Riding",3.18,,87.5
Burstock,-2.91,50.88,-2.8224129,50.8236805,IV1680-064-60,http://www.openstreetmap.org/node/616227902,Burstock,Dorset,0.93,,100
Burston,-2.36,50.81,-2.3180015,50.7476294,IV1680-065-02,http://www.openstreetmap.org/node/3846456996,Burleston,Dorset,1.25,,87.5
Burston,1.15,52.51,1.142822,52.4056188,IV1680-065-03,http://www.openstreetmap.org/node/36636794,Burston,Norfolk,2.69,,100
Burston,1.03,52.91,1.0598643,52.8516042,IV1680-065-04,http://www.openstreetmap.org/node/281834338,Briston,Norfolk,2.4,,85.71
Burstow,-0.1,51.2,-0.1143801,51.1565781,IV1680-065-05,http://www.openstreetmap.org/node/289968639,Burstow,Surrey,2.75,,100
Burstwick,0.03,53.8,-0.1414731,53.7315356,IV1680-065-07,http://www.openstreetmap.org/node/60269164,Burstwick,"Yorkshire East Riding",0.91,,100
Burtford,-1.71,51.1,-1.7720004,51.053411,IV1680-065-09,http://www.openstreetmap.org/node/1786334355,Britford,Wiltshire,2.8,,87.5
Burton,-2.6,53.25,-2.7346676,53.1692721,IV1680-065-16,http://www.openstreetmap.org/node/223816269,Burton,Cheshire,1.8,,100
Burton,-2.33,50.76,-2.2394098,50.6833294,IV1680-065-23,http://www.openstreetmap.org/node/5519443388,"East Burton",Dorset,2.95,,70.59
Burton,-2.66,52.7,-2.7228237,52.6561089,IV1680-065-38,http://www.openstreetmap.org/node/611862963,Boreton,Shropshire,3.22,,76.92
Burton,-2.53,52.6,-2.5968447,52.5631962,IV1680-065-39,http://www.openstreetmap.org/node/335520840,Bourton,Shropshire,4.45,,92.31
Burton,-1.78,50.8,-1.7691184,50.7521005,IV1680-065-42,http://www.openstreetmap.org/node/6545010445,Burton,Hampshire,0.89,,100
Burton,-0.56,50.98,-0.57785,50.9170393,IV1680-065-44,http://www.openstreetmap.org/node/29542907,"West Burton",Sussex,5.12,,70.59
Burton,-1.35,54.5,-1.6465968,54.4740037,IV1680-065-50,http://www.openstreetmap.org/node/439725868,Barton,"Yorkshire North Riding",1.99,,83.33
"Burton Wood",-2.41,53.53,-2.6547116,53.4297066,IV1680-066-19,http://www.openstreetmap.org/node/29369462,Burtonwood,Lancashire,5.36,,95.24
Burwardsley,-2.7,53.15,-2.7264642,53.105438,IV1680-066-20,http://www.openstreetmap.org/node/29833039,Burwardsley,Cheshire,5.1,,100
Burwarton,-2.53,52.5,-2.5617469,52.462612,IV1680-066-22,http://www.openstreetmap.org/node/29748508,Burwarton,Shropshire,1.86,,100
Burwash,0.31,51,0.3804027,50.9976003,IV1680-066-23,http://www.openstreetmap.org/node/29414198,Burwash,Sussex,0.26,,100
Burwel,0.31,52.28,0.3282566,52.2757688,IV1680-066-25,http://www.openstreetmap.org/node/25292433,Burwell,Cambridgeshire,1.05,,92.31
Burwel,0.11,53.36,0.031517,53.2953959,IV1680-066-26,http://www.openstreetmap.org/node/31508488,Burwell,Lincolnshire,1.97,,92.31
Bury,-0.06,52.41,-0.1174788,52.4366244,IV1680-066-30,http://www.openstreetmap.org/node/32909741,Bury,Huntingdonshire,1.2,,100
BURY,-2.15,53.66,-2.2972827,53.5927543,IV1680-066-31,http://www.openstreetmap.org/node/27329906,Bury,Lancashire,0.39,,100
Bury,-0.51,50.95,-0.5631978,50.9126166,IV1680-066-32,http://www.openstreetmap.org/node/27209508,Bury,Sussex,1.44,,100
Bushbury,-2.06,52.66,-2.1178998,52.6187266,IV1680-066-37,http://www.openstreetmap.org/node/5129554790,Bushbury,Staffordshire,7,,100
Bushford,-3.65,51.05,-3.538389,51.0205558,IV1680-066-38,http://www.openstreetmap.org/node/290928731,Brushford,Somerset,2.69,,94.12
Bushley,-2.08,52,-2.184366,52.0072117,IV1680-066-39,http://www.openstreetmap.org/node/96083312,Bushley,Worcestershire,0.31,,100
Bushy,-0.28,51.68,-0.3622403,51.6441535,IV1680-066-43,http://www.openstreetmap.org/node/720187,Bushey,Hertfordshire,1.76,,90.91
Bushy,-0.93,52.68,-1.0415697,52.6296666,IV1680-066-44,http://www.openstreetmap.org/node/26914096,Bushby,Leicestershire,3.49,,90.91
Busling-Thorp,-0.26,53.38,-0.378701,53.3523061,IV1680-066-49,http://www.openstreetmap.org/node/243392837,Buslingthorpe,Lincolnshire,1.52,,92.31
Butcomb,-2.8,51.4,-2.698813,51.3497168,IV1680-066-53,http://www.openstreetmap.org/node/29673702,Butcombe,Somerset,7.7,,93.33
Butley,-1.98,53.38,-2.1338757,53.2961011,IV1680-066-54,http://www.openstreetmap.org/node/1139770460,"Butley Town",Cheshire,2.41,,70.59
Butsbury,0.45,51.7,0.4049345,51.6614588,IV1680-066-58,http://www.openstreetmap.org/node/1708408555,Buttsbury,Essex,0.76,,94.12
Butter-Cramb,-0.7,54.08,-0.8809974,54.0159448,IV1680-066-60,http://www.openstreetmap.org/node/81854719,Buttercrambe,"Yorkshire North Riding",3.2,,91.67
Butterley,-1.25,53.13,-1.4044103,53.0605149,IV1680-067-02,http://www.openstreetmap.org/node/1466737483,Butterley,Derbyshire,4.59,,100
Butterton,-1.75,53.16,-1.8879451,53.1059782,IV1680-067-08,http://www.openstreetmap.org/node/29291326,Butterton,Staffordshire,2.01,,100
Butterwick,0.16,53.06,0.0684667,52.9841838,IV1680-067-11,http://www.openstreetmap.org/node/29278199,Butterwick,Lincolnshire,3.31,,100
Butterwick,-0.23,54.2,-0.4866446,54.1284098,IV1680-067-12,http://www.openstreetmap.org/node/55441894,Butterwick,"Yorkshire East Riding",2.43,,100
Buttington,-3.11,52.71,-3.1120558,52.6718574,IV1680-067-16,http://www.openstreetmap.org/node/3726382197,Buttington,Montgomeryshire,6.05,,100
Buxhall,0.9,52.23,0.9217413,52.1807425,IV1680-067-19,http://www.openstreetmap.org/node/288273529,Buxhall,Suffolk,1.47,,100
Buxton,-1.73,53.35,-1.9100768,53.2594074,IV1680-067-21,http://www.openstreetmap.org/node/18085924,Buxton,Derbyshire,0.43,,100
Buxton,1.28,52.86,1.3067651,52.7547251,IV1680-067-22,http://www.openstreetmap.org/node/1902445339,Buxton,Norfolk,3.57,,100
Bwlch,-3.2,51.95,-3.2397444,51.8897942,IV1680-067-24,http://www.openstreetmap.org/node/981540472,Bwlch,Brecknockshire,1.23,,100
Byfield,-1.15,52.23,-1.2480551,52.1744947,IV1680-067-28,http://www.openstreetmap.org/node/1640172399,Byfield,Northamptonshire,0.04,,100
Byfleet,-0.38,51.38,-0.5065245,51.3373982,IV1680-067-29,http://www.openstreetmap.org/node/2345895100,"West Byfleet",Surrey,2.07,,73.68
Byford,-2.83,52.08,-2.8820541,52.0816439,IV1680-067-31,http://www.openstreetmap.org/node/429144078,Byford,Herefordshire,1.04,,100
Byford,-0.06,54.03,-0.2824058,53.9716264,IV1680-067-32,http://www.openstreetmap.org/node/55559612,Beeford,"Yorkshire East Riding",1.82,,76.92
Bygrave,-0.13,52,-0.1598067,52.0099074,IV1680-067-33,http://www.openstreetmap.org/node/2784837650,Bygrave,Hertfordshire,4.53,,100
Byley,-2.25,53.28,-2.4202051,53.2195631,IV1680-067-37,http://www.openstreetmap.org/node/1705556204,Byley,Cheshire,3.26,,100
Bynton,-1.6,52.21,-1.7883687,52.185075,IV1680-067-41,http://www.openstreetmap.org/node/249269725,Binton,Warwickshire,0.42,,83.33
Bynweston,-3.01,52.66,-3.032763,52.6315392,IV1680-067-42,http://www.openstreetmap.org/node/8066161740,Binweston,Shropshire,6.65,,88.89
Byrom,-1,53.8,-1.2606302,53.7236789,IV1680-067-47,http://www.openstreetmap.org/node/778187756,Byram,"Yorkshire West Riding",0.84,,80
Byton,-2.88,52.28,-2.9255632,52.2710127,IV1680-067-48,http://www.openstreetmap.org/node/4150120435,Byton,Herefordshire,1.5,,100
Byworth,-0.51,51.01,-0.5949942,50.9804939,IV1680-067-50,http://www.openstreetmap.org/node/19042301,Byworth,Sussex,0.98,,100
Caburn,-0.13,53.56,-0.2819305,53.5016652,IV1680-067-52,http://www.openstreetmap.org/node/243463132,Cabourne,Lincolnshire,0.74,,85.71
Cabus,-2.53,54.01,-2.7741776,53.9321428,IV1680-067-53,http://www.openstreetmap.org/node/29145711,Cabus,Lancashire,4.77,,100
Cadbury,-3.68,50.88,-3.5532653,50.8361895,IV1680-067-55,http://www.openstreetmap.org/node/204018357,Cadbury,Devon,3.03,,100
Caddington,-0.38,51.9,-0.456191,51.8656601,IV1680-067-59,http://www.openstreetmap.org/node/247358500,Caddington,Bedfordshire,1.29,,100
Cadeby,-1.28,52.71,-1.3731146,52.6179726,IV1680-068-02,http://www.openstreetmap.org/node/27437882,Cadeby,Leicestershire,3.83,,100
Cadeby,-0.01,53.51,-0.089604,53.4446853,IV1680-068-03,http://www.openstreetmap.org/node/1024121324,Cadeby,Lincolnshire,6.02,,100
Cadnam,-1.53,51,-1.5788688,50.921528,IV1680-068-10,http://www.openstreetmap.org/node/388217272,Cadnam,Hampshire,5.97,,100
Cadney,-0.33,53.58,-0.4684998,53.5177622,IV1680-068-12,http://www.openstreetmap.org/node/243382983,Cadney,Lincolnshire,2.41,,100
Caerchun,-3.68,53.36,-3.8404984,53.2168507,IV1680-068-16,http://www.openstreetmap.org/node/3327249926,Caerhun,Carnarvonshire,1.6,,93.33
Caergurley,-2.88,53.25,-3.0452101,53.1141771,IV1680-068-18,http://www.openstreetmap.org/node/21068720,Caergwrle,Flintshire,3.99,,84.21
CAERLION,-2.98,51.68,-2.9540998,51.6094696,IV1680-068-20,http://www.openstreetmap.org/node/2661397871,Caerleon,Monmouthshire,1.26,,87.5
Caerwent,-2.76,51.66,-2.7643084,51.6100619,IV1680-068-26,http://www.openstreetmap.org/node/7375925,Caerwent,Monmouthshire,0.68,,100
CAERWIS,-3.16,53.35,-3.3058754,53.2457833,IV1680-068-27,http://www.openstreetmap.org/node/419891468,Caerwys,Flintshire,1.91,,85.71
Cainby,-0.36,53.43,-0.4966098,53.393398,IV1680-068-29,http://www.openstreetmap.org/node/243392820,Caenby,Lincolnshire,2.83,,83.33
Calby,-0.33,53.23,-0.5426358,53.1328743,IV1680-068-32,http://www.openstreetmap.org/node/12014296,Coleby,Lincolnshire,6.23,,72.73
Calcot,-0.98,51.46,-1.0520249,51.441795,IV1680-068-33,http://www.openstreetmap.org/node/2117862027,Calcot,Berkshire,5.93,,100
Calcot,-1.21,51.93,-1.2635482,51.9128289,IV1680-068-34,http://www.openstreetmap.org/node/27422624,Caulcott,Oxfordshire,1.93,,85.71
Caldbeck,-2.93,54.86,-3.0526079,54.7488621,IV1680-068-35,http://www.openstreetmap.org/node/29360040,Caldbeck,Cumberland,3.67,,100
Caldecot,-0.71,52.15,-0.7108085,52.0751558,IV1680-068-36,http://www.openstreetmap.org/node/990580791,Caldecote,Buckinghamshire,2.81,,94.12
Caldecot,-0.05,52.2,-0.0306102,52.1908063,IV1680-068-37,http://www.openstreetmap.org/node/32534134,Caldecote,Cambridgeshire,1.43,,94.12
Caldecot,-2.78,53.15,-2.8472709,53.0567698,IV1680-068-38,http://www.openstreetmap.org/node/21028399,Caldecott,Cheshire,1.44,,94.12
Caldecot,-0.2,52.03,-0.1997428,52.0296666,IV1680-068-39,http://www.openstreetmap.org/node/385566337,Caldecote,Hertfordshire,2.56,,94.12
Caldecot,-0.66,52.58,-0.7210543,52.5334194,IV1680-068-42,http://www.openstreetmap.org/node/18288458,Caldecott,Rutland,0.35,,94.12
Caldicot,-0.28,52.46,-0.315362,52.4802576,IV1680-068-50,http://www.openstreetmap.org/node/322090846,Caldecote,Huntingdonshire,1.39,,82.35
Caldmore,-1.91,52.65,-1.9831215,52.5757187,IV1680-068-51,http://www.openstreetmap.org/node/304760382,Caldmore,Staffordshire,2.42,,100
Caldwell,-0.46,52.18,-0.4718955,52.1274786,IV1680-068-52,http://www.openstreetmap.org/node/6448488303,Cauldwell,Bedfordshire,0.79,,94.12
Caldwell,-1.56,52.81,-1.6241084,52.7520825,IV1680-068-53,http://www.openstreetmap.org/node/265821886,Caldwell,Derbyshire,3.35,,100
Caldwell,-1.43,54.55,-1.7524142,54.5166552,IV1680-068-54,http://www.openstreetmap.org/node/29541779,Caldwell,"Yorkshire North Riding",2.06,,100
Calhourn,-1.36,50.7,-1.3997714,50.6778236,IV1680-068-59,http://www.openstreetmap.org/node/11998197,Calbourne,Hampshire,4.18,,82.35
Calke,-1.36,52.83,-1.4479312,52.7952562,IV1680-068-60,http://www.openstreetmap.org/node/276200428,Calke,Derbyshire,5.65,,100
Calmsden,-1.88,51.8,-1.936211,51.7771258,IV1680-069-10,http://www.openstreetmap.org/node/289641121,Calmsden,Gloucestershire,4.11,,100
CALNE,-1.98,51.45,-2.0050911,51.437977,IV1680-069-12,http://www.openstreetmap.org/node/33125815,Calne,Wiltshire,0.13,,100
Calow,-1.26,53.28,-1.384143,53.233897,IV1680-069-13,http://www.openstreetmap.org/node/29400193,Calow,Derbyshire,3.4,,100
Calow,-1.48,53.15,-1.602324,53.0645637,IV1680-069-14,http://www.openstreetmap.org/node/29354363,Callow,Derbyshire,2.26,,90.91
